,SAPClient,CompanyCode,CompanyCodeName,PostingDate,DocumentType,DocumentTypeName,SourceTable,DELETE_DF_DI,UPDATE_DF_TS,Amount,CreditAmount,ProcessingTime
186,100,1017,Missouri-American Water C,20210803,UE,USBank E Lockbox,DFKKZK,,20210804014042,454201.13,0.00,2021-08-04 04:05:47.512
187,100,1038,New York American Water C,20210803,MA,Mellon ACH,DFKKZK,,20210804014057,283266.03,0.00,2021-08-04 04:05:47.512
188,100,1010,Indiana-American Water Co,20210802,UA,USBank ACH,DFKKZK,,20210804014042,139626.49,0.00,2021-08-04 04:05:47.512
189,100,1017,Missouri-American Water C,20210803,DL,DELUXE Lockbox paper,DFKKZK,,20210804014042,447054.51,0.00,2021-08-04 04:05:47.512
190,100,1024,Pennsylvania-American Wat,20210803,ML,Mellon Lock Box,DFKKZK,,20210804014057,905582.92,0.00,2021-08-04 04:05:47.512
191,100,1013,Maryland-American Water C,20210803,ML,Mellon Lock Box,DFKKZK,,20210804014057,491.84,0.00,2021-08-04 04:05:47.512
192,100,1028,West Virginia-American Wa,20210803,MA,Mellon ACH,DFKKZK,,20210804014057,115950.39,0.00,2021-08-04 04:05:47.512
193,100,1010,Indiana-American Water Co,20210803,UE,USBank E Lockbox,DFKKZK,,20210804014042,194191.77,0.00,2021-08-04 04:05:47.512
194,100,1010,Indiana-American Water Co,20210803,UA,USBank ACH,DFKKZK,,20210804014042,173667.94,0.00,2021-08-04 04:05:47.512
195,100,1017,Missouri-American Water C,20210802,DL,DELUXE Lockbox paper,DFKKZK,,20210804022943,1752522.49,0.00,2021-08-04 04:05:47.512
196,100,1010,Indiana-American Water Co,20210802,DL,DELUXE Lockbox paper,DFKKZK,,20210804024700,895516.60,0.00,2021-08-04 04:05:47.512
